marca,modelo,ano,motorizacao,tipo_combustivel,cor,quilometragem,numero_de_portas,transmissao,categoria,km_por_litro,preco,descricao
Chevrolet,S10,2013,1.0 3 cilindros Otto,Gasolina,Prata,79267,2,Automática,Hatch,15.3,186065.0,Ótimo desempenho e conforto para viagens.
Chevrolet,Cruze,2007,2.8 4 cilindros Diesel,Flex,Prata,388165,4,Automática,Hatch,21.2,246794.23,Carro econômico ideal para cidade.
Nissan,March,2005,1.6 4 cilindros Flex,Gasolina,Cinza,410775,4,CVT,Passeio,10.2,268013.77,Modelo confiável e muito popular no Brasil.
BYD,Song Plus,2021,1.3 4 cilindros Flex,Gasolina,Cinza,487152,2,CVT,Sedan,17.0,201867.32,Boa relação custo-benefício.
BYD,Dolphin,2016,1.6 4 cilindros Flex,Flex,Vermelho,385298,4,CVT,Hatch,12.1,29393.4,Espaçoso e confortável para famílias.
Jeep,Gladiator,2010,Motor elétrico,Elétrico,Preto,293861,2,Automatizada,Passeio,10.0,128072.71,Modelo confiável e muito popular no Brasil.
Hyundai,Santa Fe,2015,Motor elétrico,Elétrico,Verde,204062,4,Automática,SUV,21.5,337455.06,Modelo confiável e muito popular no Brasil.
Chevrolet,Onix Plus,2024,2.8 4 cilindros Diesel,Gasolina,Cinza,462617,4,Automática,SUV,18.9,89926.34,Espaçoso e confortável para famílias.
Jeep,Renegade,2006,1.3 4 cilindros Flex,Diesel,Vermelho,333866,4,Automática,Sedan,10.8,349340.41,Design moderno com boa tecnologia embarcada.
BYD,Seal,2023,1.6 4 cilindros Flex,Flex,Preto,0,2,Manual,Hatch,16.0,297706.49,Ótimo desempenho e conforto para viagens.
Jeep,Gladiator,2014,1.3 4 cilindros Flex,Híbrido,Prata,455724,4,CVT,Passeio,10.0,194577.09,Boa relação custo-benefício.
Renault,Kwid,2020,1.6 4 cilindros Flex,Diesel,Azul,0,4,Manual,Passeio,19.9,297613.05,Ótimo desempenho e conforto para viagens.
Honda,WR-V,2008,1.0 3 cilindros Otto,Gasolina,Verde,175990,2,Automática,Picape,8.0,345511.17,Espaçoso e confortável para famílias.
Nissan,Kicks,2009,1.3 4 cilindros Flex,Flex,Azul,49628,4,CVT,Hatch,9.4,186270.64,Ótimo desempenho e conforto para viagens.
Fiat,Pulse,2018,Motor elétrico,Elétrico,Prata,366945,4,Automática,Picape,19.0,298340.56,Boa relação custo-benefício.
Honda,Civic,2008,2.8 4 cilindros Diesel,Gasolina,Cinza,174227,4,Automatizada,Picape,9.0,174373.23,Ótimo desempenho e conforto para viagens.
Nissan,March,2015,2.8 4 cilindros Diesel,Diesel,Preto,243658,2,Manual,Hatch,17.8,122920.85,Espaçoso e confortável para famílias.
Jeep,Renegade,2017,2.0 4 cilindros Gasolina,Diesel,Cinza,386623,4,Automatizada,Passeio,12.4,234777.0,Ótimo desempenho e conforto para viagens.
Toyota,Yaris,2022,1.3 4 cilindros Flex,Gasolina,Prata,193655,4,Automática,Sedan,9.0,333727.19,Modelo confiável e muito popular no Brasil.
Renault,Duster,2015,2.8 4 cilindros Diesel,Flex,Azul,436959,2,Automatizada,SUV,16.7,45998.3,Design moderno com boa tecnologia embarcada.
Jeep,Compass,2015,2.8 4 cilindros Diesel,Flex,Preto,126965,2,Automatizada,Hatch,21.2,228739.24,Carro econômico ideal para cidade.
Toyota,Corolla Cross,2009,Motor elétrico,Elétrico,Branco,84831,4,CVT,Sedan,10.1,91538.34,Design moderno com boa tecnologia embarcada.
Volkswagen,T-Cross,2011,Motor elétrico,Elétrico,Verde,119445,4,Automática,Passeio,9.4,205011.85,Espaçoso e confortável para famílias.
Fiat,Cronos,2012,Motor elétrico,Elétrico,Cinza,245373,4,Automática,Picape,13.3,170773.03,Modelo confiável e muito popular no Brasil.
Volkswagen,T-Cross,2005,1.6 4 cilindros Flex,Gasolina,Verde,166124,4,CVT,Hatch,18.0,26584.13,Design moderno com boa tecnologia embarcada.
Renault,Duster,2023,1.6 4 cilindros Flex,Gasolina,Prata,444124,4,CVT,Passeio,12.6,70429.5,Espaçoso e confortável para famílias.
Volkswagen,T-Cross,2020,2.0 4 cilindros Gasolina,Diesel,Verde,433570,4,Automática,Hatch,20.9,31240.6,Modelo confiável e muito popular no Brasil.
BYD,Dolphin,2016,2.8 4 cilindros Diesel,Flex,Branco,142801,2,Automática,Picape,8.4,316378.39,Ótimo desempenho e conforto para viagens.
Honda,WR-V,2011,1.3 4 cilindros Flex,Flex,Preto,414906,2,CVT,SUV,17.8,178015.67,Modelo confiável e muito popular no Brasil.
Fiat,Strada,2023,Motor elétrico,Elétrico,Cinza,122235,2,Automática,Sedan,16.3,66478.65,Carro econômico ideal para cidade.
Volkswagen,Nivus,2020,2.8 4 cilindros Diesel,Diesel,Verde,429203,2,Manual,Hatch,10.1,146399.97,Modelo confiável e muito popular no Brasil.
Volkswagen,T-Cross,2007,1.6 4 cilindros Flex,Diesel,Vermelho,284234,2,Automatizada,SUV,19.9,203963.73,Espaçoso e confortável para famílias.
Toyota,Corolla,2007,1.3 4 cilindros Flex,Híbrido,Preto,0,4,Manual,Sedan,16.8,185455.98,Design moderno com boa tecnologia embarcada.
Fiat,Strada,2007,2.8 4 cilindros Diesel,Diesel,Verde,490492,2,Manual,SUV,17.1,180741.98,Ótimo desempenho e conforto para viagens.
Chevrolet,Onix,2015,Motor elétrico,Elétrico,Prata,71977,2,Automatizada,Sedan,8.3,129129.88,Modelo confiável e muito popular no Brasil.
Honda,City,2022,Motor elétrico,Elétrico,Verde,421266,4,Automatizada,SUV,15.3,57387.47,Carro econômico ideal para cidade.
Chevrolet,Onix,2011,1.3 4 cilindros Flex,Gasolina,Branco,119344,4,Automática,SUV,19.4,114756.32,Design moderno com boa tecnologia embarcada.
Chevrolet,Tracker,2012,1.6 4 cilindros Flex,Gasolina,Preto,31553,2,Automática,Sedan,21.6,113228.95,Carro econômico ideal para cidade.
Volkswagen,Gol,2010,1.6 4 cilindros Flex,Diesel,Vermelho,340362,4,Automática,Passeio,20.9,340352.2,Ótimo desempenho e conforto para viagens.
Renault,Oroch,2017,1.3 4 cilindros Flex,Diesel,Prata,67823,2,CVT,Passeio,12.9,262831.18,Espaçoso e confortável para famílias.
Jeep,Gladiator,2023,Motor elétrico,Elétrico,Vermelho,0,4,Automatizada,Sedan,17.4,279655.46,Modelo confiável e muito popular no Brasil.
Honda,City,2022,1.3 4 cilindros Flex,Gasolina,Verde,287203,4,Manual,Sedan,17.9,163184.59,Design moderno com boa tecnologia embarcada.
Fiat,Argo,2019,1.3 4 cilindros Flex,Flex,Vermelho,0,2,Manual,SUV,16.2,156434.27,Espaçoso e confortável para famílias.
Honda,WR-V,2024,2.8 4 cilindros Diesel,Gasolina,Cinza,292646,4,Automatizada,Picape,18.1,202196.64,Ótimo desempenho e conforto para viagens.
Honda,Civic,2015,Motor elétrico,Elétrico,Azul,407398,2,CVT,Sedan,12.2,182252.61,Design moderno com boa tecnologia embarcada.
Volkswagen,Gol,2021,1.0 3 cilindros Otto,Gasolina,Cinza,306588,4,Manual,Sedan,11.3,302400.92,Modelo confiável e muito popular no Brasil.
Nissan,Frontier,2025,1.6 4 cilindros Flex,Gasolina,Preto,0,2,Manual,Sedan,9.0,233565.42,Design moderno com boa tecnologia embarcada.
Honda,City,2006,2.0 4 cilindros Gasolina,Diesel,Prata,24379,2,Automatizada,Sedan,18.0,315870.85,Boa relação custo-benefício.
Toyota,Corolla,2021,2.8 4 cilindros Diesel,Híbrido,Vermelho,0,4,Manual,Hatch,13.5,334039.81,Boa relação custo-benefício.
Chevrolet,S10,2011,2.8 4 cilindros Diesel,Flex,Verde,483891,2,Manual,Sedan,14.9,174132.86,Design moderno com boa tecnologia embarcada.
Chevrolet,Onix Plus,2011,Motor elétrico,Elétrico,Preto,317061,4,Automática,Picape,16.8,321602.89,Design moderno com boa tecnologia embarcada.
Chevrolet,Onix Plus,2024,1.3 4 cilindros Flex,Híbrido,Cinza,294186,4,CVT,Picape,11.5,267665.26,Ótimo desempenho e conforto para viagens.
Jeep,Compass,2024,2.8 4 cilindros Diesel,Gasolina,Preto,0,2,Automatizada,Passeio,18.6,346132.09,Carro econômico ideal para cidade.
Renault,Kwid,2006,1.0 3 cilindros Otto,Flex,Verde,100555,4,Automática,Passeio,19.3,190201.89,Design moderno com boa tecnologia embarcada.
Honda,HR-V,2014,1.3 4 cilindros Flex,Híbrido,Cinza,299563,2,Automatizada,Sedan,20.0,292715.66,Boa relação custo-benefício.
Fiat,Pulse,2022,2.8 4 cilindros Diesel,Gasolina,Preto,0,4,Automática,SUV,12.4,72409.55,Ótimo desempenho e conforto para viagens.
Nissan,Frontier,2005,Motor elétrico,Elétrico,Cinza,333603,4,Automática,SUV,12.4,52781.68,Design moderno com boa tecnologia embarcada.
Hyundai,Creta,2014,Motor elétrico,Elétrico,Verde,36362,4,Manual,SUV,15.2,238565.54,Espaçoso e confortável para famílias.
Jeep,Renegade,2017,Motor elétrico,Elétrico,Cinza,203433,4,CVT,Picape,10.4,175674.49,Modelo confiável e muito popular no Brasil.
Fiat,Argo,2021,2.8 4 cilindros Diesel,Diesel,Cinza,241754,2,Manual,Hatch,19.4,315489.84,Design moderno com boa tecnologia embarcada.
Toyota,Yaris,2019,Motor elétrico,Elétrico,Vermelho,0,4,Automática,Sedan,18.5,220870.27,Carro econômico ideal para cidade.
Hyundai,Santa Fe,2017,1.0 3 cilindros Otto,Flex,Verde,115447,2,Manual,Sedan,11.5,143168.23,Modelo confiável e muito popular no Brasil.
Renault,Kwid,2014,2.0 4 cilindros Gasolina,Flex,Branco,475796,4,CVT,Sedan,15.5,161673.87,Design moderno com boa tecnologia embarcada.
Hyundai,HB20,2006,1.6 4 cilindros Flex,Diesel,Prata,383705,2,Automatizada,Passeio,15.2,303304.98,Carro econômico ideal para cidade.
Fiat,Pulse,2016,Motor elétrico,Elétrico,Prata,187319,2,Automatizada,Hatch,9.5,186425.7,Carro econômico ideal para cidade.
Jeep,Gladiator,2005,Motor elétrico,Elétrico,Branco,166057,2,CVT,Passeio,8.5,238330.54,Espaçoso e confortável para famílias.
Renault,Kwid,2024,Motor elétrico,Elétrico,Preto,0,4,Automatizada,Hatch,16.4,142608.79,Design moderno com boa tecnologia embarcada.
Volkswagen,Amarok,2006,1.0 3 cilindros Otto,Diesel,Azul,417081,4,Automática,Sedan,13.8,255010.69,Ótimo desempenho e conforto para viagens.
BYD,Song Plus,2006,2.8 4 cilindros Diesel,Híbrido,Cinza,351150,4,Automatizada,Hatch,20.3,88477.08,Design moderno com boa tecnologia embarcada.
BYD,Seal,2010,2.8 4 cilindros Diesel,Gasolina,Preto,412231,2,Manual,Passeio,11.3,287832.49,Carro econômico ideal para cidade.
Toyota,SW4,2025,1.0 3 cilindros Otto,Híbrido,Azul,0,4,Automatizada,SUV,9.2,282198.49,Design moderno com boa tecnologia embarcada.
Chevrolet,Onix,2024,2.0 4 cilindros Gasolina,Diesel,Prata,11938,2,Manual,SUV,11.4,282517.68,Modelo confiável e muito popular no Brasil.
BYD,Yuan Plus,2013,1.0 3 cilindros Otto,Gasolina,Vermelho,201165,2,CVT,Picape,12.4,163622.05,Ótimo desempenho e conforto para viagens.
Honda,City,2013,1.3 4 cilindros Flex,Híbrido,Azul,340265,4,Manual,Hatch,8.5,198792.88,Espaçoso e confortável para famílias.
BYD,Dolphin,2017,1.3 4 cilindros Flex,Flex,Vermelho,285959,2,Manual,Picape,17.0,118966.51,Espaçoso e confortável para famílias.
Toyota,Hilux,2023,2.0 4 cilindros Gasolina,Diesel,Preto,0,2,Manual,Picape,9.6,121013.19,Design moderno com boa tecnologia embarcada.
Toyota,Corolla,2015,Motor elétrico,Elétrico,Azul,247044,2,Automática,Sedan,11.5,90071.81,Ótimo desempenho e conforto para viagens.
Hyundai,Creta,2024,1.6 4 cilindros Flex,Flex,Azul,0,2,Manual,Passeio,13.0,234991.84,Boa relação custo-benefício.
Nissan,Sentra,2020,1.0 3 cilindros Otto,Gasolina,Prata,26176,4,Automatizada,Picape,14.0,142007.38,Carro econômico ideal para cidade.
Nissan,Kicks,2007,2.8 4 cilindros Diesel,Gasolina,Cinza,438355,4,Manual,Sedan,9.8,132137.36,Boa relação custo-benefício.
Volkswagen,Nivus,2022,2.0 4 cilindros Gasolina,Híbrido,Vermelho,0,4,Automática,SUV,14.0,314569.38,Modelo confiável e muito popular no Brasil.
Renault,Sandero,2010,1.6 4 cilindros Flex,Flex,Preto,309024,4,Automatizada,Sedan,8.3,327463.29,Modelo confiável e muito popular no Brasil.
Volkswagen,Virtus,2020,2.0 4 cilindros Gasolina,Flex,Azul,0,2,Manual,SUV,18.8,94707.02,Carro econômico ideal para cidade.
